,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD,percentage,change,Sentiment_1,Sentiment_total,Sentiment_component
0,2017/11/12 05:00,ETHUSD,312.34,316.34,308,310.16,3263.16,1017470.49,0,0,0,0,0
1,2017/11/12 06:00,ETHUSD,310.16,310.16,301.12,307,3463.15,1056163.67,-0.01018829,-1,0,0,0
2,2017/11/12 07:00,ETHUSD,307,314.37,301.37,307.16,6681.07,2066540.88,0.000521173,1,0,0,0
3,2017/11/12 08:00,ETHUSD,307.16,310,302.48,304.79,2152.84,656841.26,-0.007715848,-1,-1,-0.142453968,0
4,2017/11/12 09:00,ETHUSD,304.79,305,300.38,302.4,2832.44,857577.88,-0.007841465,-1,0,0,-0.1531
5,2017/11/12 10:00,ETHUSD,302.4,308.09,300.11,305.18,2169.39,657893.16,0.009193122,1,1,0.616212139,0
6,2017/11/12 11:00,ETHUSD,305.18,306.79,301.36,303.88,1115.28,339483.77,-0.004259781,-1,1,0.712410447,0.8519
7,2017/11/12 12:00,ETHUSD,303.88,305.43,301.37,301.59,1903.05,577686.54,-0.007535869,-1,0,0,1.0389
8,2017/11/12 13:00,ETHUSD,301.59,306.98,301.22,304.83,2469.31,749944.26,0.010743062,1,1,0.614158084,0
9,2017/11/12 14:00,ETHUSD,304.83,305.8,301,305.38,1936.74,587803.84,0.001804284,1,1,0.625350022,0.8481
10,2017/11/12 15:00,ETHUSD,305.38,309,303.84,307.81,1527.63,468658.43,0.007957299,1,0,0,0.8689
11,2017/11/12 16:00,ETHUSD,307.81,315.14,307.7,313.1,2456.33,765152.26,0.017185926,1,0,0,0
12,2017/11/12 17:00,ETHUSD,313.1,318.2,311.4,317.2,2649.8,834547.28,0.013094858,1,0,0,0
13,2017/11/12 18:00,ETHUSD,317.2,318.98,313.83,314.35,1072.7,339468.46,-0.008984868,-1,0,0,0
14,2017/11/12 19:00,ETHUSD,314.35,316.98,306.64,313.23,1617.49,503402.59,-0.003562908,-1,0,0,0
15,2017/11/12 20:00,ETHUSD,313.23,313.94,306.94,308.89,1554.22,482626.97,-0.013855633,-1,0,0,0
16,2017/11/12 21:00,ETHUSD,308.89,312.02,306.63,311.44,1137.05,351629.92,0.008255366,1,1,0.585784662,0
17,2017/11/12 22:00,ETHUSD,311.44,311.44,305.3,306.65,1007.77,309891.37,-0.01538017,-1,0,0,0.7964
18,2017/11/12 23:00,ETHUSD,306.65,310.19,305,306.1,1956.73,600552.38,-0.001793576,-1,0,0,0
19,2017/11/13 00:00,ETHUSD,306.1,316,305.91,315.98,706.94,219087.59,0.032277034,1,0,0,0
20,2017/11/13 01:00,ETHUSD,315.98,319,313.79,318.78,1823.78,578135.1,0.00886132,1,0,0,0
21,2017/11/13 02:00,ETHUSD,318.78,320.69,314.27,315.79,980.62,312144.38,-0.009379509,-1,1,0.27626717,0
22,2017/11/13 03:00,ETHUSD,315.79,318.2,311.53,311.75,860.82,270278.28,-0.012793312,-1,0,0,0.3182
23,2017/11/13 04:00,ETHUSD,311.75,315.09,310.02,311.1,919.09,286848.88,-0.002085004,-1,1,0.513122983,0
24,2017/11/13 05:00,ETHUSD,311.1,314,308.55,309.62,930.27,289497.15,-0.004757313,-1,0.666386934,0.599016375,0.6705
25,2017/11/13 06:00,ETHUSD,309.62,311.32,307.83,309.5,534.93,165767.26,-0.000387572,-1,0.229617021,0.104365158,1.0323
26,2017/11/13 07:00,ETHUSD,309.5,315.47,308.82,315,1678.23,526633.94,0.017770598,1,-1,-0.323386997,0.1349
